num_prot	n	Mapping	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	prot_dev_02by12	dev_nAcc_01	dev_nAcc_02	dev_nAcc_12	Acc_M0	Acc_M1	Acc_M2	AUC_M0	AUC_M1	AUC_M2
3	6	0:original; 1:retrain; 2:unlearn	1.0134306748708088	0.0012743751207987468	0.858	7.27186	7.27626	0.9993952937360677	-40.0	422.0	462.0	0.5883	0.5915	0.562	0.64	0.6392	0.6121
3	74	0:original; 1:retrain; 2:unlearn	1.0336302757263183	0.002143561840057373	0.75477	7.26786	7.2634	1.0006140375030976	28.0	80.0	52.0	0.5883	0.5869	0.5861	0.64	0.6367	0.6394
3	1075	0:original; 1:retrain; 2:unlearn	0.9438299298286438	0.002135348320007324	0.51363	7.267	7.29108	0.9966973342769522	97.0	17.0	-80.0	0.5883	0.5826	0.5883	0.64	0.6366	0.6433
3	17432	0:original; 1:retrain; 2:unlearn	0.7965064843495687	0.0033781687418619794	0.53104	7.26703	7.27051	0.9995213540728229	143.0	-133.0	-276.0	0.5883	0.5794	0.6	0.64	0.6353	0.6407
3	71945	0:original; 1:retrain; 2:unlearn	0.11392704248428345	0.008125046888987223	1.28541	7.27418	7.61372	0.9554041913808231	-102.0	183.0	285.0	0.5883	0.6012	0.5936	0.64	0.6221	0.6276
