num_prot	n	Mapping	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	prot_dev_02by12	dev_nAcc_01	dev_nAcc_02	dev_nAcc_12	Acc_M0	Acc_M1	Acc_M2	AUC_M0	AUC_M1	AUC_M2
1	9	0:original; 1:retrain; 2:unlearn	0.717260233561198	0.0008101344108581543	0.01077	7.3463	7.34446	1.0002505289701353	18.0	520.0	502.0	0.5606	0.5595	0.5302	0.6369	0.6368	0.618
1	95	0:original; 1:retrain; 2:unlearn	0.7375524163246154	0.0008681376775105794	0.00997	7.34201	7.34413	0.9997113340858618	0.0	-13.0	-13.0	0.5606	0.5607	0.5617	0.6369	0.6369	0.6414
1	1091	0:original; 1:retrain; 2:unlearn	0.7111775437990825	0.0010502219200134277	0.03304	7.34195	7.34025	1.0002315997411533	118.0	63.0	-55.0	0.5606	0.5538	0.5569	0.6369	0.6367	0.6422
1	5412	0:original; 1:retrain; 2:unlearn	0.6794317046801249	0.0013223807017008463	0.15996	7.34209	7.34556	0.999527605791798	407.0	150.0	-257.0	0.5606	0.5363	0.5517	0.6369	0.6355	0.6422
1	10779	0:original; 1:retrain; 2:unlearn	0.7171164512634277	0.0018433531125386555	0.34622	7.34241	7.36623	0.9967663241576763	732.0	279.0	-453.0	0.5606	0.5174	0.5439	0.6369	0.6333	0.6422
