num_prot	n	iter	Mapping	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	prot_dev_02by12	dev_nAcc_01	dev_nAcc_02	dev_nAcc_12	Acc_M0	Acc_M1	Acc_M2	AUC_M0	AUC_M1	AUC_M2
1	9	0	0:original; 1:retrain; 2:unlearn	0.6867827773094177	0.0006818135579427083	0.01058	7.34711	7.34646	1.0000884779880377	4.0	-112.0	-116.0	0.5606	0.5604	0.5834	0.6369	0.6368	0.6114
1	9	1	0:original; 1:retrain; 2:unlearn	0.7272451122601827	0.0007742921511332194	0.01067	7.34711	7.34847	0.9998149274610906	3.0	-112.0	-115.0	0.5606	0.5605	0.5834	0.6369	0.6369	0.6114
1	9	2	0:original; 1:retrain; 2:unlearn	0.7571199496587118	0.0007589459419250488	0.00963	7.34711	7.34799	0.999880239357974	-4.0	-112.0	-108.0	0.5606	0.5609	0.5834	0.6369	0.6369	0.6114
1	82	0	0:original; 1:retrain; 2:unlearn	0.7956257700920105	0.0007507006327311198	0.01041	7.3419	7.34108	1.0001117001858038	4.0	-277.0	-281.0	0.5606	0.5603	0.5821	0.6369	0.6368	0.6377
1	82	1	0:original; 1:retrain; 2:unlearn	0.7420268336931864	0.0007411519686381022	0.01258	7.3419	7.3435	0.9997821202423912	-7.0	-277.0	-270.0	0.5606	0.5611	0.5821	0.6369	0.6369	0.6377
1	82	2	0:original; 1:retrain; 2:unlearn	0.7141854882240295	0.0006776134173075358	0.01099	7.3419	7.34355	0.9997753130298017	4.0	-277.0	-281.0	0.5606	0.5604	0.5821	0.6369	0.6369	0.6377
1	815	0	0:original; 1:retrain; 2:unlearn	0.7010814627011617	0.0011103192965189615	0.00929	7.3416	7.34179	0.9999741207525685	-3.0	-332.0	-329.0	0.5606	0.5608	0.5836	0.6369	0.6369	0.6428
1	815	1	0:original; 1:retrain; 2:unlearn	0.7387770454088847	0.0011918822924296061	0.01175	7.3416	7.34052	1.0001471285413022	-9.0	-332.0	-323.0	0.5606	0.5612	0.5836	0.6369	0.637	0.6428
1	815	2	0:original; 1:retrain; 2:unlearn	0.7211812814076741	0.0008758664131164551	0.01234	7.3416	7.34175	0.9999795689038716	-5.0	-332.0	-327.0	0.5606	0.5608	0.5836	0.6369	0.6369	0.6428
1	4071	0	0:original; 1:retrain; 2:unlearn	0.7290762424468994	0.001368256409962972	0.02334	7.34162	7.33822	1.0004633276189594	-27.0	-325.0	-298.0	0.5606	0.5624	0.584	0.6369	0.6369	0.6426
1	4071	1	0:original; 1:retrain; 2:unlearn	0.6811133424441019	0.001260836919148763	0.02325	7.34162	7.33702	1.0006269575386193	-26.0	-325.0	-299.0	0.5606	0.5623	0.584	0.6369	0.6368	0.6426
1	4071	2	0:original; 1:retrain; 2:unlearn	0.7196998437245686	0.001103818416595459	0.02268	7.34162	7.33605	1.000759264181678	-5.0	-325.0	-320.0	0.5606	0.561	0.584	0.6369	0.6368	0.6426
1	8142	0	0:original; 1:retrain; 2:unlearn	0.6678396304448445	0.001666871706644694	0.02945	7.34164	7.3315	1.0013830730409874	7.0	-238.0	-245.0	0.5606	0.5602	0.5776	0.6369	0.6366	0.6427
1	8142	1	0:original; 1:retrain; 2:unlearn	0.6491897463798523	0.0017481605211893717	0.03311	7.34164	7.33091	1.001463665493097	11.0	-238.0	-249.0	0.5606	0.5599	0.5776	0.6369	0.6366	0.6427
1	8142	2	0:original; 1:retrain; 2:unlearn	0.6644067684809367	0.0013110438982645671	0.03079	7.34164	7.33153	1.0013789754662397	4.0	-238.0	-242.0	0.5606	0.5603	0.5776	0.6369	0.6366	0.6427
1	16283	0	0:original; 1:retrain; 2:unlearn	0.625020972887675	0.002375594774881999	0.05097	7.34188	7.32969	1.0016630989850865	-49.0	-90.0	-41.0	0.5606	0.5639	0.5664	0.6369	0.6366	0.6425
1	16283	1	0:original; 1:retrain; 2:unlearn	0.667352294921875	0.002360562483469645	0.05335	7.34188	7.32575	1.0022018223390097	-56.0	-90.0	-34.0	0.5606	0.5643	0.5664	0.6369	0.6367	0.6425
1	16283	2	0:original; 1:retrain; 2:unlearn	0.597246241569519	0.002828840414683024	0.05495	7.34188	7.33041	1.0015647146612536	-60.0	-90.0	-30.0	0.5606	0.5646	0.5664	0.6369	0.6367	0.6425
