num_prot	n	Mapping	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	prot_dev_02by12	dev_nAcc_01	dev_nAcc_02	dev_nAcc_12	Acc_M0	Acc_M1	Acc_M2	AUC_M0	AUC_M1	AUC_M2
3	1	0:original; 1:retrain; 2:unlearn	0.37838533719380696	0.0004960258801778157	0.59613	6.26999	6.33669	0.9894739998327202	0.0	-73.0	-73.0	0.5011	0.5011	0.5881	0.7057	0.7006	0.7727
3	26	0:original; 1:retrain; 2:unlearn	0.47290035486221316	0.0008594433466593425	0.61534	6.2677	6.28368	0.9974569042344612	0.0	-51.0	-51.0	0.5011	0.5011	0.5451	0.7057	0.6957	0.7609
3	9041	0:original; 1:retrain; 2:unlearn	0.2775881210962931	0.001950363318125407	1.15169	6.27232	5.91762	1.0599396378949644	-43.0	-48.0	-5.0	0.5011	0.5381	0.5417	0.7057	0.6904	0.7662
3	17416	0:original; 1:retrain; 2:unlearn	0.2504824956258138	0.002197527885437012	1.51879	6.27489	5.62558	1.1154209877026013	-70.0	-50.0	20.0	0.5011	0.5828	0.5413	0.7057	0.6368	0.7722
3	30396	0:original; 1:retrain; 2:unlearn	0.033984955151875815	0.0021710276603698732	2.79736	6.28397	4.82601	1.3021046371640341	-71.0	-53.0	18.0	0.5011	0.588	0.5481	0.7057	0.5235	0.7729
