num_prot	n	Mapping	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	prot_dev_02by12	dev_nAcc_01	dev_nAcc_02	dev_nAcc_12	Acc_M0	Acc_M1	Acc_M2	AUC_M0	AUC_M1	AUC_M2
2	519	0:original; 1:retrain; 2:unlearn	0.3671374281247457	0.000797883669535319	0.80693	6.71717	6.70533	1.001765759477908	0.0	-30.0	-30.0	0.5	0.5	0.524	0.6915	0.7083	0.7575
2	4838	0:original; 1:retrain; 2:unlearn	0.3136907855669657	0.0011293371518452963	0.45789	6.72412	6.47313	1.0387741324521522	-2.0	-10.0	-8.0	0.5	0.5011	0.5077	0.6915	0.6835	0.7611
2	28780	0:original; 1:retrain; 2:unlearn	0.04606976906458537	0.00179825226465861	2.79206	6.75275	4.96813	1.359213627662722	-73.0	-74.0	-1.0	0.5	0.588	0.5885	0.6915	0.5096	0.7596
2	32731	0:original; 1:retrain; 2:unlearn	0.0024904251098632813	0.0019983331362406413	3.5901	6.76575	4.45581	1.518410793997051	5240.0	-76.0	-5316.0	0.5	0.497	0.5915	0.6915	0.5698	0.7555
