num_prot	n	iter	Mapping	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	prot_dev_02by12	dev_nAcc_01	dev_nAcc_02	dev_nAcc_12	Acc_M0	Acc_M1	Acc_M2	AUC_M0	AUC_M1	AUC_M2
3	4	0	0:original; 1:retrain; 2:unlearn	0.37443634668986003	0.0006237228711446127	0.83502	5.54946	5.55751	0.9985515095789301	-1.0	-1.0	0.0	0.5873	0.5873	0.5867	0.5721	0.5723	0.7083
3	4	1	0:original; 1:retrain; 2:unlearn	0.3708602587381999	0.0005484143892923991	1.2016	5.54946	5.56211	0.9977256832389148	-2.0	-1.0	1.0	0.5873	0.5875	0.5867	0.5721	0.572	0.7083
3	4	2	0:original; 1:retrain; 2:unlearn	0.37147003412246704	0.0005178093910217285	0.81938	5.54946	5.5572	0.9986072122651695	-2.0	-1.0	1.0	0.5873	0.5874	0.5867	0.5721	0.572	0.7083
3	33	0	0:original; 1:retrain; 2:unlearn	0.3720820943514506	0.0006615002950032552	1.37602	5.55066	5.55979	0.9983578516454759	-5.0	72.0	77.0	0.5873	0.5875	0.5854	0.5721	0.5722	0.6594
3	33	1	0:original; 1:retrain; 2:unlearn	0.376304296652476	0.0005460143089294434	1.30284	5.55066	5.5707	0.9964026064946954	0.0	72.0	72.0	0.5873	0.5873	0.5854	0.5721	0.5723	0.6594
3	33	2	0:original; 1:retrain; 2:unlearn	0.3892329096794128	0.0005834023157755534	1.33943	5.55066	5.56817	0.9968553402643956	-2.0	72.0	74.0	0.5873	0.5874	0.5854	0.5721	0.5719	0.6594
3	326	0	0:original; 1:retrain; 2:unlearn	0.2260404388109843	0.0003212769826253255	0.49057	5.5496	5.55951	0.9982174688057041	-1.0	2.0	3.0	0.5873	0.5874	0.5879	0.5721	0.5732	0.7022
3	326	1	0:original; 1:retrain; 2:unlearn	0.22019073963165284	0.000310977300008138	0.97963	5.5496	5.51279	1.0066771997482218	-1.0	2.0	3.0	0.5873	0.5882	0.5879	0.5721	0.6627	0.7022
3	326	2	0:original; 1:retrain; 2:unlearn	0.22958702246348064	0.00031445821126302085	1.29953	5.5496	5.56807	0.9966828721621676	-2.0	2.0	4.0	0.5873	0.5874	0.5879	0.5721	0.5731	0.7022
3	1629	0	0:original; 1:retrain; 2:unlearn	0.21337703069051106	0.00035399993260701497	0.89018	5.54955	5.53365	1.0028733295383698	2.0	30.0	28.0	0.5873	0.5874	0.5871	0.5721	0.572	0.6932
3	1629	1	0:original; 1:retrain; 2:unlearn	0.2132645606994629	0.0003366788228352865	1.32861	5.54955	5.50254	1.0085433272634092	0.0	30.0	30.0	0.5873	0.5881	0.5871	0.5721	0.6628	0.6932
3	1629	2	0:original; 1:retrain; 2:unlearn	0.21809626817703248	0.0004521687825520833	1.38137	5.54955	5.53298	1.0029947695455252	3.0	30.0	27.0	0.5873	0.5872	0.5871	0.5721	0.572	0.6932
3	3257	0	0:original; 1:retrain; 2:unlearn	0.20142075220743816	0.0003675103187561035	1.3356	5.54932	5.51752	1.0057634589453233	1.0	4.0	3.0	0.5873	0.5876	0.588	0.5721	0.5717	0.6988
3	3257	1	0:original; 1:retrain; 2:unlearn	0.20152007738749186	0.00036943753560384114	1.31413	5.54932	5.49515	1.0098577836819742	1.0	4.0	3.0	0.5873	0.5882	0.588	0.5721	0.6644	0.6988
3	3257	2	0:original; 1:retrain; 2:unlearn	0.2042473594347636	0.00035674174626668294	1.33244	5.54932	5.5177	1.0057306486398319	-3.0	4.0	7.0	0.5873	0.5881	0.588	0.5721	0.5718	0.6988
3	6513	0	0:original; 1:retrain; 2:unlearn	0.18332302967707317	0.0004277586936950684	0.94555	5.54938	5.4632	1.0157746375750476	-1.0	6.0	7.0	0.5873	0.5882	0.588	0.5721	0.5717	0.6981
3	6513	1	0:original; 1:retrain; 2:unlearn	0.18280425071716308	0.00044464667638142904	1.11625	5.54938	5.46452	1.0155292688104354	1.0	6.0	5.0	0.5873	0.588	0.588	0.5721	0.5722	0.6981
3	6513	2	0:original; 1:retrain; 2:unlearn	0.18240320682525635	0.00041173299153645835	0.97188	5.54938	5.46658	1.0151465815921472	1.0	6.0	5.0	0.5873	0.588	0.588	0.5721	0.5719	0.6981
