num_prot	n	Mapping	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	prot_dev_02by12	dev_nAcc_01	dev_nAcc_02	dev_nAcc_12	Acc_M0	Acc_M1	Acc_M2	AUC_M0	AUC_M1	AUC_M2
2	10	0:original; 1:retrain; 2:unlearn	0.33810234467188516	0.0004425485928853353	1.08356	5.75302	5.77309	0.9965235255296557	1.0	356.0	355.0	0.5855	0.5857	0.5269	0.5931	0.5931	0.6905
2	127	0:original; 1:retrain; 2:unlearn	0.3842226346333822	0.00046557188034057617	0.06295	5.75	5.7581	0.9985932859797503	1.0	49.0	48.0	0.5855	0.5851	0.5811	0.5931	0.594	0.6977
2	15166	0:original; 1:retrain; 2:unlearn	0.1805625557899475	0.0008227785428365071	2.08036	5.73147	5.50751	1.040664474508444	113.0	33.0	-80.0	0.5855	0.5854	0.5874	0.5931	0.6424	0.7233
