num_prot	n	Mapping	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	prot_dev_02by12	dev_nAcc_01	dev_nAcc_02	dev_nAcc_12	Acc_M0	Acc_M1	Acc_M2	AUC_M0	AUC_M1	AUC_M2
3	6	0:original; 1:retrain; 2:unlearn	0.37793508370717366	0.0005258123079935709	0.56034	5.57543	5.58559	0.9981810336956347	-3.0	74.0	77.0	0.5873	0.5875	0.5835	0.5721	0.5716	0.6448
3	423	0:original; 1:retrain; 2:unlearn	0.37658190727233887	0.0005547404289245605	0.88461	5.56562	5.56816	0.9995438349472717	5.0	73.0	68.0	0.5873	0.5874	0.5854	0.5721	0.5705	0.5915
3	20420	0:original; 1:retrain; 2:unlearn	0.1413053274154663	0.0010887503623962403	2.78421	5.54924	5.33823	1.0395280832785398	1742.0	10.0	-1732.0	0.5873	0.5121	0.5878	0.5721	0.5123	0.6994
