num_prot	n	Mapping	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	prot_dev_02by12	dev_nAcc_01	dev_nAcc_02	dev_nAcc_12	Acc_M0	Acc_M1	Acc_M2	AUC_M0	AUC_M1	AUC_M2
1	4	0:original; 1:retrain; 2:unlearn	0.2940628965695699	0.0002657771110534668	0.07755	6.28341	6.29784	0.9977087382340613	-4.0	-199.0	-195.0	0.5294	0.5297	0.5793	0.5835	0.5828	0.6692
1	7	0:original; 1:retrain; 2:unlearn	0.287406591574351	0.00025729735692342124	0.10018	6.28578	6.27068	1.002408032302717	0.0	-206.0	-206.0	0.5294	0.5296	0.5797	0.5835	0.5835	0.6656
1	155	0:original; 1:retrain; 2:unlearn	0.316584308942159	0.0003230770428975423	0.13963	6.2783	6.32732	0.9922526440894406	40.0	-136.0	-176.0	0.5294	0.5231	0.5525	0.5835	0.5842	0.6448
1	370	0:original; 1:retrain; 2:unlearn	0.2794531544049581	0.0002568403879801432	0.34374	6.2798	6.38226	0.9839461256670835	59.0	-151.0	-210.0	0.5294	0.5199	0.5555	0.5835	0.5845	0.6421
1	852	0:original; 1:retrain; 2:unlearn	0.28203904231389365	0.00030815601348876953	1.54749	6.28052	6.61889	0.9488781351555925	211.0	-166.0	-377.0	0.5294	0.5	0.5584	0.5835	0.5868	0.6422
