num_prot	n	Mapping	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	prot_dev_02by12	dev_nAcc_01	dev_nAcc_02	dev_nAcc_12	Acc_M0	Acc_M1	Acc_M2	AUC_M0	AUC_M1	AUC_M2
3	28	0:original; 1:retrain; 2:unlearn	0.13997530539830524	0.001029022534688314	1.54072	5.10374	5.12194	0.9964466588831575	0.0	15.0	15.0	0.647	0.6475	0.6516	0.7626	0.7626	0.7651
3	183	0:original; 1:retrain; 2:unlearn	0.1421609123547872	0.0013014674186706543	1.51067	5.09853	5.12575	0.9946895576257133	8.0	10.0	2.0	0.647	0.6457	0.6477	0.7626	0.7629	0.7657
3	1129	0:original; 1:retrain; 2:unlearn	0.12425522406895956	0.0012125213940938314	0.18798	5.098	5.14335	0.9911827894271243	35.0	24.0	-11.0	0.647	0.6602	0.6451	0.7626	0.7637	0.766
3	2034	0:original; 1:retrain; 2:unlearn	0.12215394179026286	0.00141218105951945	1.88721	5.09794	5.24948	0.9711323788260933	187.0	43.0	-144.0	0.647	0.6688	0.6519	0.7626	0.7524	0.7665
3	3145	0:original; 1:retrain; 2:unlearn	0.10793534517288209	0.002000749111175537	1.98405	5.09871	5.30731	0.9606957196771998	282.0	98.0	-184.0	0.647	0.6566	0.6657	0.7626	0.7369	0.7632
3	7253	0:original; 1:retrain; 2:unlearn	0.056554309527079266	0.002173916498819987	1.32279	5.09815	5.56735	0.9157229202403299	531.0	200.0	-331.0	0.647	0.6581	0.6704	0.7626	0.7027	0.7562
