num_prot	n	Mapping	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	prot_dev_02by12	dev_nAcc_01	dev_nAcc_02	dev_nAcc_12	Acc_M0	Acc_M1	Acc_M2	AUC_M0	AUC_M1	AUC_M2
2	1147	0:original; 1:retrain; 2:unlearn	69.55392201344172	0.0004751324653625488	0.64197	12.42846	12.38139	1.0038016733177777	0.0	0.0	0.0	0.5	0.5	0.5	0.7708	0.7709	0.6781
2	114633	0:original; 1:retrain; 2:unlearn	73.93761084874471	0.03423102696736654	0.76943	12.42795	12.51009	0.9934340999944844	0.0	0.0	0.0	0.5	0.5	0.5	0.7708	0.7706	0.6787
2	1146327	0:original; 1:retrain; 2:unlearn	77.23279880285263	0.025231146812438966	0.57433	12.4283	12.15946	1.0221095344694584	0.0	0.0	0.0	0.5	0.5	0.5	0.7708	0.7709	0.6788
2	2292653	0:original; 1:retrain; 2:unlearn	74.64968506892522	0.04330877065658569	0.56865	12.4285	11.96495	1.0387423265454514	0.0	0.0	0.0	0.5	0.5	0.5	0.7708	0.7703	0.6804
