num_prot	n	Mapping	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	prot_dev_02by12	dev_nAcc_01	dev_nAcc_02	dev_nAcc_12	Acc_M0	Acc_M1	Acc_M2	AUC_M0	AUC_M1	AUC_M2
1	2	0:original; 1:retrain; 2:unlearn	0.09305489460627238	0.00043742656707763673	0.02252	5.27173	5.26203	1.0018433950395569	-1.0	72.0	73.0	0.5643	0.5651	0.6334	0.7509	0.7509	0.7383
1	118	0:original; 1:retrain; 2:unlearn	0.1089875300725301	0.0007386763890584309	0.02855	5.27008	5.26735	1.0005182871842577	0.0	3.0	3.0	0.5643	0.5649	0.5902	0.7509	0.7509	0.7545
1	586	0:original; 1:retrain; 2:unlearn	0.10425321658452352	0.0005906462669372558	0.08055	5.26919	5.23664	1.0062158177762839	-2.0	0.0	2.0	0.5643	0.5688	0.5984	0.7509	0.7515	0.7573
1	2342	0:original; 1:retrain; 2:unlearn	0.0983494758605957	0.0005756537119547526	0.27117	5.26639	5.17417	1.0178231484469973	-14.0	-2.0	12.0	0.5643	0.586	0.5663	0.7509	0.7512	0.7543
1	3513	0:original; 1:retrain; 2:unlearn	0.07006606260935465	0.0005542397499084473	0.39196	5.26613	5.12307	1.0279246623606548	-4.0	7.0	11.0	0.5643	0.5938	0.5513	0.7509	0.752	0.7542
