num_prot	n	Mapping	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	prot_dev_02by12	dev_nAcc_01	dev_nAcc_02	dev_nAcc_12	Acc_M0	Acc_M1	Acc_M2	AUC_M0	AUC_M1	AUC_M2
1	4	0:original; 1:retrain; 2:unlearn	0.1832592209180196	0.00016585191090901693	0.06813	6.28341	6.30077	0.9972447811934096	-6.0	-199.0	-193.0	0.5294	0.5299	0.5793	0.5835	0.5836	0.6692
1	7	0:original; 1:retrain; 2:unlearn	0.2037112792332967	0.0001718282699584961	0.08808	6.28578	6.29101	0.999168654953656	-9.0	-206.0	-197.0	0.5294	0.53	0.5797	0.5835	0.5825	0.6656
1	155	0:original; 1:retrain; 2:unlearn	0.18767118056615192	0.00020674467086791992	0.19376	6.2783	6.31878	0.993593700049693	41.0	-136.0	-177.0	0.5294	0.5222	0.5525	0.5835	0.584	0.6448
1	370	0:original; 1:retrain; 2:unlearn	0.24076246817906696	0.00023200114568074545	0.35056	6.2798	6.38688	0.983234380479984	86.0	-151.0	-237.0	0.5294	0.5163	0.5555	0.5835	0.5845	0.6421
