num_prot	n	Mapping	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	prot_dev_02by12	dev_nAcc_01	dev_nAcc_02	dev_nAcc_12	Acc_M0	Acc_M1	Acc_M2	AUC_M0	AUC_M1	AUC_M2
3	16	0:original; 1:retrain; 2:unlearn	0.7903167963027954	0.0019601901372273763	0.35266	4.20316	4.17506	1.0067304421972376	0.0	26.39	26.39	0.3333	0.3333	0.4216	0.6829	0.6949	0.6906
3	7611	0:original; 1:retrain; 2:unlearn	0.7549168427785238	0.003514699141184489	0.3117	4.12252	4.02572	1.0240453881541687	0.0	13.2	13.2	0.3333	0.3333	0.4585	0.6829	0.6827	0.7652
3	1523	0:original; 1:retrain; 2:unlearn	0.7828084190686544	0.00281679630279541	0.22105	4.1354	4.09505	1.0098533595438395	0.0	16.78	16.78	0.3333	0.3333	0.455	0.6829	0.6831	0.7618
3	30442	0:original; 1:retrain; 2:unlearn	0.6482003847757976	0.004755131403605143	0.31199	4.12266	3.85763	1.0687028045717188	0.0	15.66	15.66	0.3333	0.3333	0.4551	0.6829	0.6842	0.7624
3	45663	0:original; 1:retrain; 2:unlearn	0.5856503168741862	0.005350156625111898	0.55471	4.1233	3.75472	1.0981644436868796	0.0	15.54	15.54	0.3333	0.3333	0.4513	0.6829	0.6847	0.7633
