num_prot	n	Mapping	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	prot_dev_02by12	dev_nAcc_01	dev_nAcc_02	dev_nAcc_12	Acc_M0	Acc_M1	Acc_M2	AUC_M0	AUC_M1	AUC_M2
3	1129	0:original; 1:retrain; 2:unlearn	0.08459947109222413	0.0006950497627258301	1.60027	5.098	5.16377	0.9872631817451202	1.2	0.82	-0.38	0.647	0.6597	0.6451	0.7626	0.7637	0.766
3	2034	0:original; 1:retrain; 2:unlearn	0.08472627798716227	0.000771784782409668	1.88764	5.09794	5.25006	0.9710250930465557	6.46	1.47	-4.99	0.647	0.6689	0.6519	0.7626	0.7521	0.7665
3	3145	0:original; 1:retrain; 2:unlearn	0.07782354354858398	0.0008113940556844075	1.65709	5.09871	5.29898	0.9622059339721983	8.54	3.35	-5.19	0.647	0.6622	0.6657	0.7626	0.7388	0.7632
3	7253	0:original; 1:retrain; 2:unlearn	0.052743550141652426	0.0009535511334737141	1.55062	5.09815	5.56991	0.9153020425823757	17.83	6.83	-11.0	0.647	0.6611	0.6704	0.7626	0.7022	0.7562
