num_prot	n	Mapping	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	prot_dev_02by12	dev_nAcc_01	dev_nAcc_02	dev_nAcc_12	Acc_M0	Acc_M1	Acc_M2	AUC_M0	AUC_M1	AUC_M2
3	1	0:original; 1:retrain; 2:unlearn	0.34604822397232055	0.00035588741302490235	0.87093	6.26999	6.2459	1.003856930146176	0.0	-73.0	-73.0	0.5011	0.5011	0.5881	0.7057	0.7105	0.7727
3	26	0:original; 1:retrain; 2:unlearn	0.3040199279785156	0.0007481575012207031	0.93878	6.2677	6.29007	0.9964436007866366	0.0	-51.0	-51.0	0.5011	0.5011	0.5451	0.7057	0.7129	0.7609
3	9041	0:original; 1:retrain; 2:unlearn	0.2233526110649109	0.0011826316515604655	0.69859	6.27232	5.91206	1.060936458696292	-47.0	-48.0	-1.0	0.5011	0.5388	0.5417	0.7057	0.6922	0.7662
3	30396	0:original; 1:retrain; 2:unlearn	0.023871564865112306	0.0016927361488342286	2.77608	6.28397	4.82646	1.3019832340887525	-71.0	-53.0	18.0	0.5011	0.588	0.5481	0.7057	0.524	0.7729
