num_prot	n	Mapping	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	prot_dev_02by12	dev_nAcc_01	dev_nAcc_02	dev_nAcc_12	Acc_M0	Acc_M1	Acc_M2	AUC_M0	AUC_M1	AUC_M2
1	1	0:original; 1:retrain; 2:unlearn	0.10539984703063965	0.00016639232635498046	0.02213	5.29062	5.28602	1.0008702199386306	0.0	0.75	0.75	0.5643	0.5643	0.5294	0.7509	0.7508	0.7383
1	4	0:original; 1:retrain; 2:unlearn	0.08662355740865071	0.00033632119496663414	0.02409	5.28313	5.27741	1.0010838650019611	0.0	0.55	0.55	0.5643	0.5643	0.5487	0.7509	0.7508	0.7274
1	47	0:original; 1:retrain; 2:unlearn	0.0834869106610616	0.00033463637034098306	0.04431	5.26595	5.26195	1.0007601744600387	0.0	0.38	0.38	0.5643	0.5638	0.5544	0.7509	0.7507	0.7524
1	255	0:original; 1:retrain; 2:unlearn	0.0692315419514974	0.00029171307881673176	0.18117	5.26543	5.23742	1.0053480530490204	0.27	0.38	0.1	0.5643	0.5586	0.5524	0.7509	0.7501	0.754
1	559	0:original; 1:retrain; 2:unlearn	0.06732266743977865	0.00031328996022542317	0.30968	5.26529	5.23742	1.0053213223304605	0.34	0.34	0.0	0.5643	0.5566	0.5526	0.7509	0.7492	0.7528
