num_prot	n	Mapping	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	prot_dev_02by12	dev_nAcc_01	dev_nAcc_02	dev_nAcc_12	Acc_M0	Acc_M1	Acc_M2	AUC_M0	AUC_M1	AUC_M2
2	1	0:original; 1:retrain; 2:unlearn	0.729531995455424	0.0004708290100097656	0.8112	7.33871	7.34435	0.9992320627421079	-0.34	0.57	0.91	0.5788	0.5832	0.5693	0.6379	0.6394	0.6405
2	4	0:original; 1:retrain; 2:unlearn	0.7119142572085063	0.000799103577931722	0.36264	7.34001	7.32767	1.0016840278014703	0.0	3.54	3.54	0.5788	0.5787	0.5328	0.6379	0.6379	0.6373
2	60	0:original; 1:retrain; 2:unlearn	0.7257570266723633	0.0011126359303792318	0.59909	7.33589	7.33911	0.9995612547025458	-0.0	-1.43	-1.43	0.5788	0.5788	0.6022	0.6379	0.6379	0.6369
2	762	0:original; 1:retrain; 2:unlearn	0.7388219912846883	0.0011938254038492838	0.33907	7.3352	7.34366	0.9988479858816994	-0.41	-0.61	-0.2	0.5788	0.5842	0.589	0.6379	0.6383	0.6427
2	7324	0:original; 1:retrain; 2:unlearn	0.6597385128339132	0.0016418735186258951	0.61792	7.33513	7.33704	0.999739677035971	0.28	-0.76	-1.04	0.5788	0.575	0.5908	0.6379	0.6372	0.6442
