num_prot	n	Mapping	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	prot_dev_02by12	dev_nAcc_01	dev_nAcc_02	dev_nAcc_12	Acc_M0	Acc_M1	Acc_M2	AUC_M0	AUC_M1	AUC_M2
3	96	0:original; 1:retrain; 2:unlearn	0.7696516275405884	0.0021532853444417317	0.19438	4.17406	4.1257	1.0117216472356205	0.0	18.25	18.25	0.3333	0.3333	0.4521	0.6829	0.6827	0.7554
3	878	0:original; 1:retrain; 2:unlearn	0.7648438294728597	0.002620375156402588	0.42167	4.13182	4.13245	0.9998475480647073	0.0	19.91	19.91	0.3333	0.3333	0.4683	0.6829	0.6831	0.7726
3	8693	0:original; 1:retrain; 2:unlearn	0.7228721976280212	0.0031608025232950847	0.26304	4.11118	4.00383	1.0268118276750013	0.0	11.54	11.54	0.3333	0.3333	0.4596	0.6829	0.6828	0.7673
3	79668	0:original; 1:retrain; 2:unlearn	0.3654783725738525	0.007697530587514241	1.18697	4.11955	3.04469	1.3530277302451152	0.0	9.52	9.52	0.3333	0.3333	0.4491	0.6829	0.6796	0.7595
