num_prot	n	Mapping	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	prot_dev_02by12	dev_nAcc_01	dev_nAcc_02	dev_nAcc_12	Acc_M0	Acc_M1	Acc_M2	AUC_M0	AUC_M1	AUC_M2
2	661	0:original; 1:retrain; 2:unlearn	0.10753842989603678	0.0007641792297363281	0.26531	5.17929	5.20126	0.9957760235019975	0.41	0.1	-0.31	0.636	0.6413	0.6273	0.7587	0.7593	0.7707
2	1763	0:original; 1:retrain; 2:unlearn	0.10399098396301269	0.0008025288581848145	0.63033	5.17945	5.22716	0.9908726727324207	5.06	0.89	-4.17	0.636	0.6671	0.6317	0.7587	0.7518	0.7705
2	2081	0:original; 1:retrain; 2:unlearn	0.09788595835367839	0.0008278131484985351	0.72356	5.17905	5.27527	0.9817601753085624	7.07	1.13	-5.94	0.636	0.6599	0.6362	0.7587	0.7465	0.7708
2	3356	0:original; 1:retrain; 2:unlearn	0.07873667478561401	0.0008720835049947103	0.87748	5.17952	5.36572	0.9652982265194606	9.4	1.4	-7.99	0.636	0.6597	0.6454	0.7587	0.7341	0.771
2	5262	0:original; 1:retrain; 2:unlearn	0.06564946174621582	0.0009382406870524089	2.523	5.1794	5.63903	0.9184913008088271	12.2	3.04	-9.16	0.636	0.6635	0.6557	0.7587	0.73	0.7675
