num_prot	n	Mapping	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	prot_dev_02by12	dev_nAcc_01	dev_nAcc_02	dev_nAcc_12	Acc_M0	Acc_M1	Acc_M2	AUC_M0	AUC_M1	AUC_M2
2	4	0:original; 1:retrain; 2:unlearn	0.2884090344111125	0.0003515005111694336	0.66641	5.72772	5.73928	0.9979858100667679	-1.0	13.0	14.0	0.5855	0.5856	0.5853	0.5931	0.593	0.7219
2	326	0:original; 1:retrain; 2:unlearn	0.28590797583262123	0.00045250256856282554	0.03155	5.73025	5.72476	1.0009589921673572	2.0	23.0	21.0	0.5855	0.5856	0.587	0.5931	0.5933	0.7222
2	1629	0:original; 1:retrain; 2:unlearn	0.32549104690551756	0.000593249003092448	0.05925	5.72992	5.71294	1.002972199953089	7.0	0.0	-7.0	0.5855	0.586	0.5871	0.5931	0.593	0.7225
2	6513	0:original; 1:retrain; 2:unlearn	0.25202163060506183	0.0005930304527282715	0.75447	5.73006	5.63467	1.0169291191853294	17.0	5.0	-12.0	0.5855	0.5868	0.5869	0.5931	0.5942	0.7227
2	9769	0:original; 1:retrain; 2:unlearn	0.2210412383079529	0.0006831566492716472	0.58166	5.73008	5.57778	1.0273047699980997	34.0	6.0	-28.0	0.5855	0.5864	0.5868	0.5931	0.5929	0.7225
