num_prot	n	Mapping	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	prot_dev_02by12	dev_nAcc_01	dev_nAcc_02	dev_nAcc_12	Acc_M0	Acc_M1	Acc_M2	AUC_M0	AUC_M1	AUC_M2
2	10	0:original; 1:retrain; 2:unlearn	0.35529861052831013	0.0005923072497049967	0.86361	5.75302	5.83254	0.9863661457958283	13.0	356.0	343.0	0.5855	0.5824	0.5269	0.5931	0.6299	0.6905
2	127	0:original; 1:retrain; 2:unlearn	0.32698634068171184	0.0004137555758158366	0.6709	5.75	5.76023	0.9982240292488321	1.0	49.0	48.0	0.5855	0.5851	0.5811	0.5931	0.5931	0.6977
2	15166	0:original; 1:retrain; 2:unlearn	0.166537610689799	0.0006661693255106608	1.71372	5.73147	5.49211	1.0435825211075525	113.0	33.0	-80.0	0.5855	0.5854	0.5874	0.5931	0.6426	0.7233
