num_prot	n	Mapping	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	prot_dev_02by12	dev_nAcc_01	dev_nAcc_02	dev_nAcc_12	Acc_M0	Acc_M1	Acc_M2	AUC_M0	AUC_M1	AUC_M2
2	48	0:original; 1:retrain; 2:unlearn	0.6488506237665812	0.001625188191731771	0.2649	4.69868	4.68223	1.0035132832005265	0.0	26.34	26.34	0.3333	0.3333	0.4413	0.6873	0.6876	0.7541
2	524	0:original; 1:retrain; 2:unlearn	0.643877653280894	0.0018654584884643555	0.39712	4.67831	4.7006	0.9952580521635536	0.0	18.66	18.66	0.3333	0.3333	0.4681	0.6873	0.687	0.7774
2	5302	0:original; 1:retrain; 2:unlearn	0.6238712867101034	0.002160624663035075	0.24668	4.67522	4.64557	1.006382424546396	0.0	15.16	15.16	0.3333	0.3333	0.466	0.6873	0.6868	0.7788
2	52791	0:original; 1:retrain; 2:unlearn	0.42491820255915325	0.005017920335133871	0.77441	4.74942	4.12393	1.1516732825241942	0.0	34.9	34.9	0.3333	0.3333	0.4167	0.6873	0.6865	0.7574
2	152041	0:original; 1:retrain; 2:unlearn	0.0007396141688028971	0.012273669242858887	4.8001	4.75147	0.27325	17.388728270814273	1.01	6.1	5.09	0.3333	0.3988	0.3324	0.6873	0.693	0.3363
