num_prot	n	Mapping	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	prot_dev_02by12	dev_nAcc_01	dev_nAcc_02	dev_nAcc_12	Acc_M0	Acc_M1	Acc_M2	AUC_M0	AUC_M1	AUC_M2
3	4	0:original; 1:retrain; 2:unlearn	0.3640377004941305	0.000542593002319336	1.18111	5.5491	5.56291	0.9975174863515679	-2.0	-1.0	1.0	0.5873	0.5874	0.5872	0.5721	0.5722	0.7061
3	326	0:original; 1:retrain; 2:unlearn	0.3847716569900513	0.00057982603708903	0.91516	5.54936	5.51804	1.0056759284093628	-1.0	4.0	5.0	0.5873	0.5882	0.588	0.5721	0.6627	0.6986
3	1629	0:original; 1:retrain; 2:unlearn	0.38277114629745485	0.0006594181060791016	0.55999	5.54955	5.53036	1.0034699368576367	-2.0	32.0	34.0	0.5873	0.5876	0.587	0.5721	0.5734	0.6963
3	6513	0:original; 1:retrain; 2:unlearn	0.3332016825675964	0.0007613460222880045	0.63447	5.54948	5.46431	1.0155865973929004	2.0	16.0	14.0	0.5873	0.5875	0.5876	0.5721	0.5742	0.694
3	9769	0:original; 1:retrain; 2:unlearn	0.2876848260561625	0.0008115768432617188	1.05536	5.54936	5.41509	1.0247955250974592	6.0	4.0	-2.0	0.5873	0.588	0.588	0.5721	0.5743	0.6975
