num_prot	n	Mapping	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	prot_dev_02by12	dev_nAcc_01	dev_nAcc_02	dev_nAcc_12	Acc_M0	Acc_M1	Acc_M2	AUC_M0	AUC_M1	AUC_M2
2	9	0:original; 1:retrain; 2:unlearn	0.7285495559374492	0.00103835662206014	0.81073	7.33591	7.34055	0.999367894776277	-0.36	-0.23	0.13	0.5788	0.5834	0.5863	0.6379	0.6395	0.633
2	4071	0:original; 1:retrain; 2:unlearn	0.7067381381988526	0.0013854106267293294	0.35168	7.33516	7.32571	1.001289977353731	-0.05	-0.92	-0.87	0.5788	0.5795	0.5936	0.6379	0.6379	0.6444
2	815	0:original; 1:retrain; 2:unlearn	0.7408766508102417	0.0020639220873514812	0.83898	7.33519	7.33994	0.9993528557454148	-0.04	-1.06	-1.02	0.5788	0.5792	0.5956	0.6379	0.6379	0.6443
2	16283	0:original; 1:retrain; 2:unlearn	0.6124399701754252	0.0021704355875651043	0.832	7.33508	7.31389	1.0028972270570107	-0.35	-1.03	-0.68	0.5788	0.5838	0.597	0.6379	0.6376	0.6441
2	24424	0:original; 1:retrain; 2:unlearn	0.5680142283439636	0.0023743828137715657	0.6093	7.33509	7.29108	1.0060361427936602	-0.41	-1.28	-0.86	0.5788	0.5845	0.6009	0.6379	0.6374	0.644
