	solver_type	prot_per_class	num_unlearned_samples	iter	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	n_retrain	tr_M0_nAcc	tr_M1_nAcc	tr_retain_corr_M1	tr_lost_preds_M1	tr_imp_corr_M1	tr_M2_nAcc	tr_retain_corr_M2	tr_lost_preds_M2	tr_imp_corr_M2	tr_M0_Bacc	tr_M1_Bacc	tr_M2_Bacc	tr_M0_AUC	tr_M1_AUC	tr_M2_AUC	n_test	te_M0_nAcc	te_M1_nAcc	te_retain_corr_M1	te_lost_preds_M1	te_imp_corr_M1	te_M2_nAcc	te_retain_corr_M2	te_lost_preds_M2	te_imp_corr_M2	te_M0_Bacc	te_M1_Bacc	te_M2_Bacc	te_M0_AUC	te_M1_AUC	te_M2_AUC
2	wgd	2	2	2	0.0009832938512166	0.0002970695495605	0.00624	4.88561	4.88531	11706	7188.0	7186.0	7183	5	3	6647.0	6208	980	439	0.6593	0.6589	0.6448	0.7431	0.7433	0.7213	2927	1778.0	1780.0	1778	0	2	1660.0	1541	237	119	0.6605	0.6614	0.6547	0.7469	0.7471	0.7243
3	wgd	2	12	0	0.0010139346122741	0.0005559762318929	0.0032	4.88824	4.88802	11696	7180.0	7177.0	7171	9	6	4480.0	2820	4360	1660	0.6592	0.6589	0.4561	0.7432	0.7432	0.5435	2927	1778.0	1778.0	1776	2	2	1124.0	695	1083	429	0.6605	0.6605	0.4532	0.7469	0.7469	0.5405
4	wgd	2	12	1	0.0011329452196757	0.0005393385887145	0.0035	4.88881	4.88943	11696	7183.0	7183.0	7177	6	6	7371.0	6221	962	1150	0.6593	0.6596	0.6088	0.7432	0.7434	0.6855	2927	1778.0	1778.0	1777	1	1	1874.0	1559	219	315	0.6605	0.6605	0.6203	0.7469	0.747	0.6957
5	wgd	2	12	2	0.0011074662208557	0.0004976272583007	0.04627	4.88966	4.88958	11696	7185.0	7184.0	7180	5	4	6816.0	5750	1435	1066	0.6594	0.6594	0.5916	0.7433	0.7435	0.6677	2927	1778.0	1777.0	1777	1	0	1721.0	1425	353	296	0.6605	0.6603	0.6067	0.7469	0.7471	0.6812
6	wgd	2	118	0	0.0010073105494181	0.0006037672360738	0.04565	4.88685	4.88675	11590	7108.0	7103.0	7096	12	7	6200.0	4299	2809	1901	0.6586	0.6585	0.5251	0.7428	0.7428	0.5258	2927	1778.0	1781.0	1777	1	4	1552.0	1072	706	480	0.6605	0.6617	0.5258	0.7469	0.7468	0.524
7	wgd	2	118	1	0.0010208408037821	0.0006131410598754	0.00902	4.88687	4.88737	11590	7122.0	7112.0	7098	24	14	6152.0	4695	2427	1457	0.6596	0.6604	0.5339	0.7432	0.7432	0.5521	2927	1778.0	1772.0	1772	6	0	1519.0	1153	625	366	0.6605	0.6592	0.5259	0.7469	0.7469	0.5494
8	wgd	2	118	2	0.0009495695432027	0.0006066799163818	0.04681	4.88787	4.88661	11590	7107.0	7104.0	7093	14	11	6623.0	5108	1999	1515	0.6587	0.6584	0.6122	0.7428	0.7433	0.6608	2927	1778.0	1782.0	1778	0	4	1659.0	1265	513	394	0.6605	0.6624	0.6149	0.7469	0.7474	0.6507
9	wgd	2	586	0	0.0009805560111999	0.0006245215733846	0.00941	4.88653	4.88552	11140	6828.0	6828.0	6810	18	18	5811.0	4391	2437	1420	0.6581	0.6594	0.5499	0.7414	0.7415	0.5517	2927	1778.0	1778.0	1773	5	5	1529.0	1125	653	404	0.6605	0.662	0.5557	0.7469	0.7468	0.5532
10	wgd	2	586	1	0.0009416063626607	0.000636335213979	0.04762	4.8863	4.88883	11145	6848.0	6835.0	6824	24	11	6267.0	5428	1420	839	0.6592	0.6593	0.6271	0.743	0.7434	0.6858	2927	1778.0	1777.0	1774	4	3	1630.0	1411	367	219	0.6605	0.6618	0.6339	0.7469	0.7472	0.6919
11	wgd	2	586	2	0.0010907570521036	0.0006450613339742	0.04958	4.88697	4.8827	11141	6833.0	6854.0	6811	22	43	6533.0	5159	1674	1374	0.6586	0.6592	0.6084	0.7428	0.7439	0.6428	2927	1778.0	1786.0	1771	7	15	1700.0	1335	443	365	0.6605	0.6623	0.607	0.7469	0.748	0.6562
12	wgd	2	1171	0	0.0009573260943094	0.0006356000900268	0.01388	4.88615	4.88417	10581	6500.0	6508.0	6487	13	21	6019.0	4968	1532	1051	0.6596	0.6599	0.6222	0.7438	0.7443	0.6858	2927	1778.0	1784.0	1776	2	8	1631.0	1337	441	294	0.6605	0.6618	0.6206	0.7469	0.7472	0.682
13	wgd	2	1171	1	0.000899338722229	0.0006356358528137	0.0138	4.88623	4.88511	10593	6499.0	6495.0	6470	29	25	5868.0	4613	1886	1255	0.659	0.6602	0.5925	0.7432	0.7432	0.6296	2927	1778.0	1778.0	1770	8	8	1605.0	1258	520	347	0.6605	0.663	0.5943	0.7469	0.7467	0.6317
14	wgd	2	1171	2	0.0009191155433654	0.0006337165832519	0.04961	4.88729	4.88992	10596	6494.0	6490.0	6472	22	18	5671.0	4867	1627	804	0.6578	0.659	0.6	0.7427	0.7433	0.6269	2927	1778.0	1776.0	1773	5	3	1549.0	1317	461	232	0.6605	0.6611	0.6058	0.7469	0.7473	0.6349
