num_prot	n	Mapping	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	prot_dev_02by12	dev_nAcc_01	dev_nAcc_02	dev_nAcc_12	Acc_M0	Acc_M1	Acc_M2	AUC_M0	AUC_M1	AUC_M2
3	6	0:original; 1:retrain; 2:unlearn	0.3748406489690145	0.0007213632265726726	1.16075	5.57543	5.58691	0.9979451968977485	0.0	74.0	74.0	0.5873	0.5873	0.5835	0.5721	0.5721	0.6448
3	423	0:original; 1:retrain; 2:unlearn	0.41114400227864584	0.0006620963414510091	1.32174	5.56562	5.57494	0.9983282331289665	5.0	73.0	68.0	0.5873	0.5874	0.5854	0.5721	0.5707	0.5915
3	20420	0:original; 1:retrain; 2:unlearn	0.18368988434473674	0.0010330001513163248	2.82775	5.54924	5.33749	1.0396722054748582	1744.0	10.0	-1734.0	0.5873	0.512	0.5878	0.5721	0.5134	0.6994
