num_prot	n	Mapping	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	prot_dev_02by12	dev_nAcc_01	dev_nAcc_02	dev_nAcc_12	Acc_M0	Acc_M1	Acc_M2	AUC_M0	AUC_M1	AUC_M2
1	9	0:original; 1:retrain; 2:unlearn	0.5576535701751709	0.0006425579388936361	0.01265	7.34277	7.34445	0.9997712558462512	-0.03	-2.42	-2.39	0.5606	0.5609	0.5985	0.6369	0.6369	0.6344
1	4071	0:original; 1:retrain; 2:unlearn	0.5308866103490194	0.0008914550145467122	0.02664	7.34163	7.33507	1.0008943336600742	-0.17	-1.77	-1.6	0.5606	0.5627	0.5862	0.6369	0.6368	0.6424
1	815	0:original; 1:retrain; 2:unlearn	0.5509414116541544	0.0006683945655822753	0.01314	7.34162	7.34042	1.0001634783840707	-0.1	-1.67	-1.56	0.5606	0.5619	0.5841	0.6369	0.637	0.6428
1	16283	0:original; 1:retrain; 2:unlearn	0.4650585571924845	0.0017879645029703775	0.06171	7.34185	7.31828	1.003220702132195	-0.18	-0.51	-0.32	0.5606	0.5632	0.5674	0.6369	0.6368	0.6428
1	24424	0:original; 1:retrain; 2:unlearn	0.4134481906890869	0.0018703778584798177	0.09032	7.34252	7.30819	1.0046974695512843	-0.37	0.71	1.08	0.5606	0.5662	0.5521	0.6369	0.6364	0.6425
