num_prot	n	Mapping	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	prot_dev_02by12	dev_nAcc_01	dev_nAcc_02	dev_nAcc_12	Acc_M0	Acc_M1	Acc_M2	AUC_M0	AUC_M1	AUC_M2
3	6	0:original; 1:retrain; 2:unlearn	0.7553777575492859	0.0009897073109944661	0.40669	7.27186	7.27411	0.9996906838087408	0.23	2.07	1.84	0.5883	0.5858	0.562	0.64	0.6362	0.6121
3	74	0:original; 1:retrain; 2:unlearn	0.7749225815137227	0.0015008330345153808	0.80999	7.26786	7.2629	1.0006829227994327	-0.08	0.39	0.48	0.5883	0.5898	0.5861	0.64	0.6388	0.6394
3	1075	0:original; 1:retrain; 2:unlearn	0.5566484332084656	0.0011452595392862956	0.55482	7.267	7.2821	0.997926422323231	-0.04	0.08	0.13	0.5883	0.5896	0.5883	0.64	0.6396	0.6433
3	17432	0:original; 1:retrain; 2:unlearn	0.4414296309153239	0.001705638567606608	0.29824	7.26703	7.28484	0.9975551968196968	0.67	-0.65	-1.33	0.5883	0.5799	0.6	0.64	0.634	0.6407
