	solver_type	prot_per_class	num_unlearned_samples	iter	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	n_retrain	tr_M0_nAcc	tr_M1_nAcc	tr_retain_corr_M1	tr_lost_preds_M1	tr_imp_corr_M1	tr_M2_nAcc	tr_retain_corr_M2	tr_lost_preds_M2	tr_imp_corr_M2	tr_M0_Bacc	tr_M1_Bacc	tr_M2_Bacc	tr_M0_AUC	tr_M1_AUC	tr_M2_AUC	n_test	te_M0_nAcc	te_M1_nAcc	te_retain_corr_M1	te_lost_preds_M1	te_imp_corr_M1	te_M2_nAcc	te_retain_corr_M2	te_lost_preds_M2	te_imp_corr_M2	te_M0_Bacc	te_M1_Bacc	te_M2_Bacc	te_M0_AUC	te_M1_AUC	te_M2_AUC
17	lbfgs	2	6590	2	0.0363776604334513	0.000659437974294	15046.33382	21780.69013	23683.86646	27010	23939.0	23939.0	23939	0	0	20667.0	20032	3907	635	0.5	0.5	0.5218	0.581	0.6316	0.5245	8238	7303.0	7303.0	7303	0	0	6259.0	6067	1236	192	0.5	0.5	0.5181	0.5877	0.6343	0.5187
0	lbfgs	3	4	0	0.0633019010225931	0.0005772948265075	9402.79004	17547.25389	16758.0659	32946	29241.0	29241.0	29241	0	0	29384.0	29091	150	293	0.5	0.5	0.537	0.7119	0.6682	0.7432	8238	7303.0	7303.0	7303	0	0	7334.0	7262	41	72	0.5	0.5	0.5357	0.7153	0.6727	0.7467
1	lbfgs	3	4	1	0.0595669746398925	0.0005301713943481	7081.67711	17547.27825	15148.26609	32946	29241.0	29241.0	29241	0	0	28003.0	27234	2007	769	0.5	0.5	0.5695	0.7119	0.6892	0.5191	8238	7303.0	7303.0	7303	0	0	6985.0	6797	506	188	0.5	0.5	0.5659	0.7153	0.6921	0.5269
2	lbfgs	3	4	2	0.0454701821009318	0.0005758007367451	9117.54292	17547.24145	14940.38407	32946	29243.0	29243.0	29243	0	0	29047.0	28375	868	672	0.5	0.5	0.5759	0.7118	0.6396	0.7065	8238	7303.0	7303.0	7303	0	0	7230.0	7069	234	161	0.5	0.5	0.5701	0.7153	0.6484	0.7084
3	lbfgs	3	33	0	0.0585863590240478	0.0006661415100097	7874.80631	17547.24238	12020.15802	32917	29216.0	29216.0	29216	0	0	29200.0	28717	499	483	0.5	0.5	0.5567	0.7119	0.6688	0.6901	8238	7303.0	7303.0	7303	0	0	7293.0	7159	144	134	0.5	0.5	0.5618	0.7153	0.6707	0.692
4	lbfgs	3	33	1	0.047121524810791	0.000543999671936	8375.9862	17547.24831	14266.75847	32917	29214.0	29214.0	29214	0	0	28471.0	28156	1058	315	0.5	0.5	0.5244	0.7119	0.6635	0.6016	8238	7303.0	7303.0	7303	0	0	7080.0	7009	294	71	0.5	0.5	0.5178	0.7153	0.6688	0.5857
5	lbfgs	3	33	2	0.0483995238939921	0.0005639513333638	8535.29212	17547.2393	12314.43866	32917	29215.0	29215.0	29215	0	0	29217.0	29213	2	4	0.5	0.5	0.5005	0.7119	0.6449	0.6852	8238	7303.0	7303.0	7303	0	0	7303.0	7303	0	0	0.5	0.5	0.5	0.7153	0.6441	0.6832
6	lbfgs	3	330	0	0.0469992796579996	0.0005762934684753	9737.49366	17547.22108	13299.53529	32620	28943.0	28943.0	28943	0	0	28946.0	28943	0	3	0.5	0.5	0.5004	0.7116	0.686	0.7508	8238	7303.0	7303.0	7303	0	0	7305.0	7303	0	2	0.5	0.5	0.5011	0.7153	0.6832	0.7491
7	lbfgs	3	330	1	0.0483347733815511	0.0006179730097452	8092.25688	17547.22107	12522.62517	32621	28952.0	28952.0	28952	0	0	28955.0	28952	0	3	0.5	0.5	0.5004	0.7114	0.6607	0.7507	8238	7303.0	7303.0	7303	0	0	7305.0	7303	0	2	0.5	0.5	0.5011	0.7153	0.6647	0.7491
8	lbfgs	3	330	2	0.0491087714831034	0.0005459308624267	10246.36819	17547.22105	13486.98219	32623	28949.0	28949.0	28949	0	0	28952.0	28949	0	3	0.5	0.5	0.5004	0.7122	0.6822	0.7513	8238	7303.0	7303.0	7303	0	0	7305.0	7303	0	2	0.5	0.5	0.5011	0.7153	0.6839	0.749
9	lbfgs	3	1648	0	0.0405615091323852	0.0006313641866048	8310.45947	17547.22106	13451.99192	31349	27812.0	27812.0	27812	0	0	27815.0	27812	0	3	0.5	0.5	0.5004	0.7113	0.6551	0.7511	8238	7303.0	7303.0	7303	0	0	7305.0	7303	0	2	0.5	0.5	0.5011	0.7153	0.6592	0.7491
10	lbfgs	3	1648	1	0.0597840468088785	0.0005780458450317	8796.98658	17547.22106	12738.49902	31348	27830.0	27830.0	27830	0	0	27833.0	27830	0	3	0.5	0.5	0.5004	0.7094	0.6865	0.7494	8238	7303.0	7303.0	7303	0	0	7305.0	7303	0	2	0.5	0.5	0.5011	0.7153	0.6917	0.7491
11	lbfgs	3	1648	2	0.0479882955551147	0.0006458640098571	14659.01713	17547.24248	27877.23218	31336	27825.0	27825.0	27825	0	0	26938.0	26756	1069	182	0.5	0.5	0.5067	0.7126	0.6646	0.4897	8238	7303.0	7303.0	7303	0	0	7031.0	6991	312	40	0.5	0.5	0.5	0.7153	0.6686	0.4855
12	lbfgs	3	3295	0	0.0499811013539632	0.0006236433982849	15067.90597	17547.24311	27986.37663	29823	26483.0	26483.0	26483	0	0	24966.0	24706	1777	260	0.5	0.5	0.5054	0.712	0.7029	0.4706	8238	7303.0	7303.0	7303	0	0	6861.0	6793	510	68	0.5	0.5	0.5014	0.7153	0.702	0.4696
13	lbfgs	3	3295	1	0.0399497747421264	0.0007151206334431	8156.69622	17547.24286	21993.90151	29819	26484.0	26484.0	26484	0	0	24737.0	24454	2030	283	0.5	0.5	0.5041	0.7146	0.5571	0.47	8238	7303.0	7303.0	7303	0	0	6789.0	6720	583	69	0.5	0.5	0.497	0.7153	0.5651	0.4666
