	solver_type	prot_per_class	num_unlearned_samples	iter	et_retrain	et_unlearn	prot_dev_01	prot_dev_02	prot_dev_12	n_retrain	tr_M0_nAcc	tr_M1_nAcc	tr_retain_corr_M1	tr_lost_preds_M1	tr_imp_corr_M1	tr_M2_nAcc	tr_retain_corr_M2	tr_lost_preds_M2	tr_imp_corr_M2	tr_M0_Bacc	tr_M1_Bacc	tr_M2_Bacc	tr_M0_AUC	tr_M1_AUC	tr_M2_AUC	n_test	te_M0_nAcc	te_M1_nAcc	te_retain_corr_M1	te_lost_preds_M1	te_imp_corr_M1	te_M2_nAcc	te_retain_corr_M2	te_lost_preds_M2	te_imp_corr_M2	te_M0_Bacc	te_M1_Bacc	te_M2_Bacc	te_M0_AUC	te_M1_AUC	te_M2_AUC
3	wgd	1	114633	0	1.2631377418835958	0.004263683160146	0.00011	2.63714	2.63716	11349194	7849487.0	7849487.0	7849478	9	9	10504759.0	7657846	191641	2846913	0.5998	0.5998	0.6105	0.742	0.742	0.8321	2516328	1741516.0	1741522.0	1741515	1	7	2329100.0	1698941	42575	630159	0.5997	0.5997	0.6101	0.7415	0.7415	0.8318
4	wgd	1	114633	1	1.150484522183736	0.0027179956436157	0.00011	2.63709	2.6371	11349222	7849688.0	7849629.0	7849587	101	42	10504257.0	7637914	211774	2866343	0.5998	0.5998	0.5985	0.742	0.742	0.8449	2516328	1741516.0	1741505.0	1741498	18	7	2328914.0	1694462	47054	634452	0.5997	0.5997	0.5978	0.7415	0.7415	0.8447
5	wgd	1	114633	2	1.002123979727427	0.0027166048685709	0.00011	2.63709	2.63712	11349202	7849701.0	7849694.0	7849686	15	8	10506516.0	7649074	200627	2857442	0.5998	0.5998	0.6049	0.742	0.742	0.8366	2516328	1741516.0	1741514.0	1741513	3	1	2329433.0	1696910	44606	632523	0.5997	0.5997	0.6041	0.7415	0.7415	0.8362
6	wgd	1	1146327	0	1.1663769880930583	0.0274076660474141	0.0003	2.63708	2.63708	10372458	7174371.0	7174648.0	7174273	98	375	9580179.0	7037089	137282	2543090	0.5999	0.5998	0.6332	0.7421	0.742	0.8125	2516328	1741516.0	1741596.0	1741488	28	108	2324107.0	1708191	33325	615916	0.5997	0.5996	0.633	0.7415	0.7414	0.8124
7	wgd	1	1146327	1	0.9992583552996318	0.0249154726664225	0.0004	2.63709	2.63704	10372395	7174183.0	7174581.0	7174089	94	492	9580310.0	7037750	136433	2542560	0.5999	0.5999	0.6337	0.7421	0.742	0.8124	2516328	1741516.0	1741618.0	1741485	31	133	2324095.0	1708442	33074	615653	0.5997	0.5996	0.6335	0.7415	0.7414	0.8123
8	wgd	1	1146327	2	1.0622439781824748	0.0273293018341064	0.00044	2.63711	2.63696	10372272	7174505.0	7174692.0	7174443	62	249	9580531.0	7039180	135325	2541351	0.5998	0.5998	0.6347	0.742	0.742	0.813	2516328	1741516.0	1741565.0	1741502	14	63	2324356.0	1708673	32843	615683	0.5997	0.5997	0.6346	0.7415	0.7415	0.8129
9	wgd	1	2292653	0	0.9013423999150594	0.0567383567492167	0.00065	2.63707	2.63724	9384941	6491063.0	6490214.0	6489937	1126	277	8665008.0	6356937	134126	2308071	0.5997	0.5998	0.6223	0.7419	0.742	0.8109	2516328	1741516.0	1741266.0	1741206	310	60	2323301.0	1705552	35964	617749	0.5997	0.5998	0.6224	0.7415	0.7417	0.8109
10	wgd	1	2292653	1	0.8834162473678588	0.055726408958435	0.00018	2.63707	2.63707	9385529	6491355.0	6491227.0	6491161	194	66	8655162.0	6365293	126062	2289869	0.5998	0.5998	0.6285	0.742	0.742	0.8067	2516328	1741516.0	1741480.0	1741463	53	17	2320644.0	1707793	33723	612851	0.5997	0.5997	0.6286	0.7415	0.7415	0.8067
11	wgd	1	2292653	2	0.8420747121175131	0.054918352762858	0.00048	2.63707	2.63716	9384827	6491726.0	6492156.0	6491600	126	556	8598433.0	6386245	105481	2212188	0.5998	0.5997	0.6439	0.742	0.7419	0.7999	2516328	1741516.0	1741642.0	1741477	39	165	2305627.0	1713323	28193	592304	0.5997	0.5996	0.6441	0.7415	0.7414	0.7998
0	wgd	2	1147	0	1.6703891277313232	0.000613530476888	0.00402	2.63478	2.63324	11462116	10616205.0	10623237.0	10614661	1544	8576	10555400.0	10419307	196898	136093	0.5901	0.5891	0.6154	0.7662	0.765	0.8556	2516328	2330686.0	2332197.0	2330349	337	1848	2317555.0	2287571	43115	29984	0.5899	0.5889	0.6149	0.766	0.7648	0.8553
1	wgd	2	1147	1	1.6017775932947795	0.0010291496912638	0.00668	2.6368	2.63699	11462116	10616191.0	10622647.0	10614683	1508	7964	10526953.0	9893414	722777	633539	0.5901	0.5893	0.6958	0.7662	0.7654	0.8176	2516328	2330686.0	2332084.0	2330364	322	1720	2310177.0	2171296	159390	138881	0.5899	0.5892	0.6948	0.766	0.7652	0.8174
2	wgd	2	1147	2	1.3089396278063457	0.0005842010180155	0.00743	2.63317	2.63376	11462116	10616170.0	10618830.0	10615111	1059	3719	10621642.0	10605763	10407	15879	0.5901	0.59	0.5951	0.7662	0.7667	0.8556	2516328	2330686.0	2331301.0	2330431	255	870	2331842.0	2328391	2295	3451	0.5899	0.5899	0.5947	0.766	0.7664	0.8548
3	wgd	2	114633	0	1.29071896870931	0.0030468106269836	0.00869	2.6337	2.63213	11349220	10511622.0	10525052.0	10507351	4271	17701	10536876.0	10506265	5357	30611	0.5901	0.5869	0.5919	0.7662	0.7565	0.87	2516328	2330686.0	2333531.0	2329669	1017	3862	2336216.0	2329477	1209	6739	0.5899	0.5864	0.5915	0.766	0.7562	0.8696
4	wgd	2	114633	1	1.309522024790446	0.0031836668650309	0.00765	2.63365	2.63239	11349207	10511643.0	10518644.0	10510177	1466	8467	10530350.0	10505398	6245	24952	0.5901	0.5891	0.593	0.7662	0.7649	0.8682	2516328	2330686.0	2332218.0	2330362	324	1856	2334796.0	2329278	1408	5518	0.5899	0.5889	0.5927	0.766	0.7648	0.8678
5	wgd	2	114633	2	1.3502216617266336	0.0030979037284851	0.01254	2.63358	2.63376	11349201	10511767.0	10529734.0	10493103	18664	36631	10529727.0	10505808	5959	23919	0.5901	0.6015	0.5932	0.7662	0.7514	0.8643	2516328	2330686.0	2334534.0	2326468	4218	8066	2334607.0	2329343	1343	5264	0.5899	0.6012	0.5928	0.766	0.7512	0.8637
6	wgd	2	1146327	0	1.246747612953186	0.0276908874511718	0.03691	2.63358	2.63384	10372475	9607223.0	9620915.0	9596717	10506	24198	9627594.0	9602041	5182	25553	0.5901	0.5992	0.592	0.7661	0.753	0.8637	2516328	2330686.0	2333842.0	2328125	2561	5717	2335578.0	2329411	1275	6167	0.5899	0.5989	0.5917	0.766	0.7529	0.8632
7	wgd	2	1146327	1	1.1934365034103394	0.0274651169776916	0.03726	2.6336	2.6403	10372530	9607049.0	7544782.0	7401936	2205113	142846	9626651.0	9601678	5371	24973	0.59	0.603	0.5921	0.7661	0.7487	0.8624	2516328	2330686.0	1830767.0	1796186	534500	34581	2335405.0	2329365	1321	6040	0.5899	0.6027	0.5918	0.766	0.7485	0.8618
8	wgd	2	1146327	2	1.1796390096346536	0.0252325495084126	0.0367	2.63359	2.63576	10372334	9606778.0	9609299.0	9606287	491	3012	9624666.0	9601351	5427	23315	0.5901	0.5897	0.5925	0.7661	0.7644	0.8612	2516328	2330686.0	2331301.0	2330538	148	763	2335003.0	2329370	1316	5633	0.5899	0.5895	0.5923	0.766	0.7643	0.8606
9	wgd	2	2292653	0	1.0596211791038512	0.0528124650319417	0.03783	2.63354	2.63398	9385165	8692717.0	8704355.0	8687478	5239	16877	8709381.0	8687284	5433	22097	0.5901	0.5946	0.5923	0.7661	0.7534	0.8583	2516328	2330686.0	2333693.0	2329296	1390	4397	2335118.0	2329233	1453	5885	0.5899	0.5943	0.5919	0.766	0.7532	0.8575
10	wgd	2	2292653	1	1.07399525642395	0.0629241029421488	0.00767	2.63355	2.63312	9385609	8692943.0	8700898.0	8691228	1715	9670	8709701.0	8687862	5081	21839	0.59	0.5886	0.5924	0.7661	0.7628	0.8536	2516328	2330686.0	2332740.0	2330202	484	2538	2335145.0	2329315	1371	5830	0.5899	0.5884	0.5921	0.766	0.7627	0.8529
11	wgd	2	2292653	2	0.8904701590538024	0.0432932535807291	0.03172	2.63354	2.63506	9385537	8693074.0	8697973.0	8689940	3134	8033	8709096.0	8687409	5665	21687	0.5901	0.5889	0.5925	0.7662	0.7614	0.8541	2516328	2330686.0	2331925.0	2329838	848	2087	2334920.0	2329156	1530	5764	0.5899	0.5887	0.5921	0.766	0.7613	0.8535
0	wgd	3	1147	0	1.2962209264437357	0.0007329821586608	0.03209	2.64499	2.64559	11462116	10634881.0	10630530.0	10627089	7792	3441	9113153.0	8733901	1900980	379252	0.586	0.5885	0.5649	0.7589	0.7618	0.6712	2516328	2334582.0	2333690.0	2332883	1699	807	2000217.0	1916758	417824	83459	0.5855	0.5882	0.5654	0.7588	0.7616	0.6716
1	wgd	3	1147	1	1.384213348229726	0.0007406155268351	0.03173	2.64848	2.64932	11462116	10634876.0	10630079.0	10626646	8230	3433	9173408.0	8841365	1793511	332043	0.586	0.5888	0.5387	0.7589	0.7615	0.6757	2516328	2334582.0	2333600.0	2332790	1792	810	2013515.0	1940628	393954	72887	0.5855	0.5885	0.5387	0.7588	0.7613	0.6762
2	wgd	3	1147	2	1.372666335105896	0.0007375200589497	0.0288	2.64421	2.6438	11462116	10634899.0	10638726.0	10630253	4646	8473	9148614.0	8754282	1880617	394332	0.586	0.5866	0.5798	0.7589	0.7523	0.6706	2516328	2334582.0	2335430.0	2333553	1029	1877	2008084.0	1921436	413146	86648	0.5855	0.5861	0.5799	0.7588	0.752	0.6712
3	wgd	3	114633	0	1.4000830173492431	0.0032350142796834	0.03316	2.64465	2.64498	11349218	10530280.0	10526281.0	10523323	6957	2958	9056464.0	8681217	1849063	375247	0.586	0.5883	0.5663	0.7589	0.7613	0.6782	2516328	2334582.0	2333779.0	2333060	1522	719	2007807.0	1924351	410231	83456	0.5855	0.588	0.567	0.7588	0.7611	0.6788
4	wgd	3	114633	1	1.3282658219337464	0.0030876715977986	0.02076	2.64506	2.6414	11349189	10530121.0	10534892.0	10523561	6560	11331	9058164.0	8681263	1848858	376901	0.586	0.586	0.5678	0.7589	0.7571	0.6776	2516328	2334582.0	2335683.0	2333167	1415	2516	2008160.0	1924378	410204	83782	0.5855	0.5856	0.5684	0.7588	0.7569	0.6781
5	wgd	3	114633	2	1.405618166923523	0.0029407382011413	0.02981	2.64427	2.64537	11349207	10530175.0	10521741.0	10517172	13003	4569	9065192.0	8693588	1836587	371604	0.586	0.5896	0.5634	0.759	0.756	0.6775	2516328	2334582.0	2332814.0	2331757	2825	1057	2009678.0	1927046	407536	82632	0.5855	0.5893	0.564	0.7588	0.7557	0.6781
6	wgd	3	1146327	0	1.313149702548981	0.0263300855954488	0.0329	2.64474	2.64106	10372568	9623770.0	9618805.0	9617299	6471	1506	8278360.0	7935454	1688316	342906	0.5861	0.5869	0.5661	0.7589	0.7605	0.6777	2516328	2334582.0	2333466.0	2333086	1496	380	2008252.0	1924844	409738	83408	0.5855	0.5863	0.5669	0.7588	0.7603	0.6784
7	wgd	3	1146327	1	1.2678588430086772	0.0269772330919901	0.02973	2.64499	2.64445	10372421	9623394.0	9621514.0	9619997	3397	1517	8278125.0	7935583	1687811	342542	0.5858	0.5872	0.5656	0.7588	0.7608	0.6778	2516328	2334582.0	2334172.0	2333791	791	381	2008234.0	1924947	409635	83287	0.5855	0.5869	0.5665	0.7588	0.7608	0.6784
8	wgd	3	1146327	2	1.209666661421458	0.0247330824534098	0.03277	2.64466	2.64502	10372614	9624010.0	9621186.0	9619041	4969	2145	8280904.0	7939197	1684813	341707	0.5861	0.588	0.5652	0.759	0.7592	0.6775	2516328	2334582.0	2333968.0	2333396	1186	572	2008697.0	1925546	409036	83151	0.5855	0.5876	0.5659	0.7588	0.759	0.6783
9	wgd	3	2292653	0	1.119311809539795	0.0448723832766215	0.02989	2.64477	2.64545	9385855	8708343.0	8705153.0	8702657	5686	2496	7487743.0	7177979	1530364	309764	0.586	0.5882	0.5653	0.7588	0.7546	0.6779	2516328	2334582.0	2333790.0	2333079	1503	711	2007147.0	1923891	410691	83256	0.5855	0.5878	0.566	0.7588	0.7545	0.6785
10	wgd	3	2292653	1	1.1065984964370728	0.0488374153772989	0.03185	2.64455	2.64554	9384935	8707281.0	8705116.0	8703221	4060	1895	7485823.0	7176521	1530760	309302	0.5862	0.5879	0.5648	0.7589	0.7605	0.6778	2516328	2334582.0	2334085.0	2333523	1059	562	2007065.0	1923891	410691	83174	0.5855	0.5874	0.5657	0.7588	0.7604	0.6785
11	wgd	3	2292653	2	1.219257620970408	0.0480640093485514	0.03058	2.64462	2.64544	9385408	8707917.0	8706040.0	8704279	3638	1761	7487251.0	7177491	1530426	309760	0.586	0.5877	0.5653	0.7589	0.7608	0.6779	2516328	2334582.0	2334156.0	2333639	943	517	2007277.0	1924012	410570	83265	0.5855	0.5873	0.5661	0.7588	0.7608	0.6785
